"Lake_Name","WBIC","PARAM","Year","Date","Time","Level","Change_in_Level"
"Crystal Lake",184100,92014,"2017","09/21/2017","0:00",895.708,0
"Crystal Lake",184100,92014,"2017","09/08/2017","0:00",895.708,0
"Crystal Lake",184100,92014,"2017","08/31/2017","0:00",895.768,0.0182879999999841
"Crystal Lake",184100,92014,"2017","08/23/2017","0:00",895.768,0.0182879999999841
"Crystal Lake",184100,92014,"2017","08/17/2017","0:00",895.878,0.0518159999999739
"Crystal Lake",184100,92014,"2017","08/09/2017","0:00",895.968,0.07924799999995
"Crystal Lake",184100,92014,"2017","08/02/2017","0:00",896.008,0.0914399999999773
"Crystal Lake",184100,92014,"2017","07/28/2017","0:00",896.028,0.097535999999991
"Crystal Lake",184100,92014,"2017","07/19/2017","0:00",896.168,0.140207999999973
"Crystal Lake",184100,92014,"2017","07/14/2017","0:00",896.228,0.158495999999957
